user id,VehicleModel,BatteryCapacitykWh,Charging_StationID,Charging StationLocation,Charging StartTime,Charging EndTime,Energy ConsumedKWh,ChargingDuration_hours,ChargingRateKW,ChargingCostUSD,TimeofDay,DayofWeek,State_of_Charge_Start%,State_of_Charge_End%,Distance_Driven_km,TemperatureC,VehicleAge_years,ChargerType,UserType
U0127,AUDI E-TRON,65,S282,LOS ANGELES,2023-01-12 03:21:33,2023-01-12 06:10:09.000000000,17.31,2.81,14.83,$43.06,Night ,wednesday,24%,82%,113.89,37.05,9,DC Fast Charger#,Long-Distance Traveler#
U0128,Nissan Leaf ,92,S294,New York ,2023-12-04 21:13:12,2023-12-05 02:54:00.000000000,71.78,5.68,43.0,$36.32,NIGHT,WEDNESDAY,70%,93%,31.7,3.91,9,Level ,COMMUTER
U0129,CHEVY BOLT,83,S103,Los Angeles ,2023-12-11 18:11:03,2023-12-12 01:00:15.000000000,18.76,6.82,35.93,$17.12,Evenin,Saturday ,53%,88%,89.3,22.68,6,DC Fast Charger#,Long-Distance Traveler#
U0130,hyundai kona,91,S259,los angeles,2023-08-18 00:01:44,2023-08-18 04:01:08.000000000,42.38,3.99,44.46,$3.5,evening,SATURDAY,11%,98%,154.15,7.07,9,Level 2#,Long-Distance Traveler 
U0131,nissan leaf,45,S249,san francisco,2023-06-04 15:56:37,2023-06-04 20:41:37.000000000,26.05,4.75,10.54,$41.17,Evening#,Thursday ,60%,90%,79.02,0.76,9,DC Fast Charge,Commuter#
U0132,Audi e-Tron#,50,S408,New York ,2023-12-25 05:36:21,2023-12-25 10:21:57.000000000,8.96,4.76,11.1,$22.35,MORNING,Sunday#,16%,86%,241.1,-6.66,3,level 1,long-distance traveler
U0133,Hyundai Kona#,80,S433,SAN FRANCISCO,2023-06-03 16:52:29,2023-06-03 18:08:05.000000000,57.57,1.26,34.55,$12.93,Afternoo,SUNDAY,22%,83%,289.17,7.92,1,dc fast charger,Commute
U0134,AUDI E-TRON,52,S361,New York#,2023-01-22 09:43:20,2023-01-22 12:27:44.000000000,40.6,2.74,2.51,$6.03,evening,FRIDAY,51%,92%,106.74,-5.9,2,DC FAST CHARGER,commuter
U0135,Nissan Lea,86,S245,Seattl,2023-11-18 00:16:50,2023-11-18 05:07:14.000000000,42.46,4.84,20.71,$31.98,MORNING,monday,49%,84%,239.71,18.9,2,DC Fast Charger#,commuter
U0136,Tesla Model 3#,67,S180,Chicago#,2023-02-13 23:50:25,2023-02-14 01:28:13.000000000,75.16,1.63,36.09,$19.12,NIGHT,FRIDAY,53%,83%,203.67,5.8,0,dc fast charger,LONG-DISTANCE TRAVELER
NA,NA,46,NA,NA,NA,NA,49.49,2.97,43.61,$7.38,NA,NA,77%,91%,58.49,26.66,1,NA,NA
U0138,nissan leaf,40,S490,NEW YORK,2023-08-03 02:06:55,2023-08-03 08:59:07.000000000,39.44,6.87,8.47,$37.0,EVENING,Tuesda,44%,88%,214.12,-8.7,5,Level 2#,LONG-DISTANCE TRAVELER
U0139,HYUNDAI KONA,81,S116,New Yor,2023-05-07 20:46:21,2023-05-08 04:15:09.000000000,24.11,7.48,43.95,$9.75,Evenin,Tuesda,59%,88%,22.25,-8.87,9,Level ,Commuter#
NA,NA,98,NA,NA,NA,NA,75.48,5.08,29.26,$15.87,NA,NA,44%,98%,89.66,-5.03,1,NA,NA
U0141,Nissan Leaf ,40,S268,Seattl,2023-11-20 12:00:35,2023-11-20 13:32:59.000000000,43.33,1.54,8.06,$42.03,morning,Monda,20%,82%,246.2,36.43,9,LEVEL 1,Long-Distance Traveler 
U0142,Hyundai Kona ,88,S100,Seattle#,2023-01-01 12:46:05,2023-01-01 16:53:53.000000000,23.48,4.13,47.94,$15.82,Evening ,Sunda,26%,82%,186.74,-0.26,9,Level 2 ,Long-Distance Travele
U0143,Tesla Model 3 ,89,S044,SEATTLE,2023-12-03 17:36:01,2023-12-03 23:04:13.000000000,74.59,5.47,17.67,$40.97,Evening#,MONDAY,64%,89%,272.56,32.09,4,Level 2 ,Commuter#
U0144,Nissan Leaf#,75,S390,NEW YORK,2023-01-30 10:48:01,2023-01-30 11:46:13.000000000,67.21,0.97,39.59,$3.88,Evening#,thursday,31%,94%,11.75,24.25,8,DC Fast Charge,Commuter#
U0145,tesla model 3,42,S198,San Francisc,2023-05-16 17:02:50,2023-05-16 17:42:26.000000000,31.74,0.66,7.86,$24.67,Mornin,THURSDAY,36%,81%,278.74,7.71,9,dc fast charger,Long-Distance Travele
U0146,tesla model 3,97,S379,Chicag,2023-04-26 01:42:00,2023-04-26 08:57:00.000000000,10.61,7.25,18.24,$31.58,Afternoon ,Sunday#,48%,95%,14.45,4.73,0,Level 2 ,LONG-DISTANCE TRAVELER
U0147,Tesla Model 3#,74,S153,New York#,2023-02-20 12:35:25,2023-02-20 18:08:25.000000000,51.32,5.55,29.3,$31.45,night,Tuesday ,13%,90%,265.06,37.1,6,LEVEL 2,Long-Distance Traveler 
U0148,chevy bolt,44,S127,Los Angele,2023-03-31 04:18:29,2023-03-31 06:58:41.000000000,61.15,2.67,33.66,$38.53,Night#,Thursday ,15%,91%,16.87,6.04,2,level 1,LONG-DISTANCE TRAVELER
U0149,CHEVY BOLT,46,S065,los angeles,2023-09-28 18:18:01,2023-09-28 19:58:49.000000000,61.68,1.68,10.22,$8.93,Mornin,Saturda,12%,91%,133.38,12.43,3,dc fast charger,commuter
U0150,Tesla Model 3 ,34,S206,Seattle ,2023-03-23 00:38:37,2023-03-23 05:14:01.000000000,79.66,4.59,48.09,$21.49,Afternoon#,tuesday,17%,85%,188.25,26.67,5,Level 1#,Commute
U0151,Hyundai Kona#,51,S272,Chicago#,2023-01-05 06:19:56,2023-01-05 07:51:44.000000000,33.26,1.53,15.98,$48.19,night,TUESDAY,12%,80%,171.24,-2.98,4,Level ,Long-Distance Travele
U0152,Audi e-Tro,86,S354,New York#,2023-02-07 11:04:42,2023-02-07 15:58:06.000000000,58.01,4.89,24.76,$47.34,Evenin,FRIDAY,45%,89%,49.8,14.86,7,DC FAST CHARGER,Long-Distance Traveler#
U0153,Hyundai Kon,33,S168,los angeles,2023-01-26 13:32:03,2023-01-26 14:28:27.000000000,68.33,0.94,16.91,$42.36,Afternoon ,Tuesday ,10%,91%,67.23,-5.72,9,Level ,Long-Distance Travele
U0154,Nissan Leaf#,31,S117,san francisco,2023-04-05 04:53:09,2023-04-05 07:51:21.000000000,17.81,2.97,42.81,$33.94,Evening#,Monday#,39%,80%,83.68,38.0,0,dc fast charger,long-distance traveler
U0155,Nissan Leaf ,37,S413,LOS ANGELES,2023-04-12 09:53:17,2023-04-12 13:30:29.000000000,27.92,3.62,24.24,$13.03,Afternoon#,TUESDAY,59%,87%,46.87,0.06,1,dc fast charger,Long-Distance Traveler#
U0156,AUDI E-TRON,60,S127,seattle,2023-03-25 04:51:19,2023-03-25 08:06:55.000000000,63.77,3.26,39.2,$11.1,AFTERNOON,Tuesday#,60%,88%,297.1,39.09,4,level 1,Long-Distance Traveler#
U0157,tesla model 3,65,S419,San Francisc,2023-01-13 11:47:46,2023-01-13 14:20:46.000000000,61.09,2.55,49.53,$42.61,evening,Tuesda,31%,95%,164.13,20.26,5,dc fast charger,COMMUTER
U0158,Chevy Bolt#,68,S108,San Francisc,2023-10-03 18:46:45,2023-10-03 21:09:33.000000000,11.24,2.38,2.72,$44.44,Afternoon#,Tuesday ,65%,99%,224.56,7.07,8,Level 2 ,Commuter 
U0159,chevy bolt,42,S052,Chicag,2023-02-28 22:28:31,2023-03-01 05:03:18.999999999,7.22,6.58,27.8,$25.45,AFTERNOON,Wednesday ,15%,89%,84.72,38.96,2,level 1,Long-Distance Travele
U0160,Nissan Leaf#,45,S054,Seattl,2023-05-26 17:05:52,2023-05-26 22:23:15.999999999,68.22,5.29,8.0,$10.32,Evening#,Wednesday#,28%,86%,95.95,24.66,2,DC Fast Charge,Commuter 
U0161,NISSAN LEAF,59,S135,new york,2023-11-13 02:02:18,2023-11-13 07:43:06.000000000,57.67,5.68,46.94,$22.25,evening,Friday ,65%,89%,135.53,25.1,9,Level ,Commuter 
U0162,HYUNDAI KONA,33,S188,Chicago ,2023-08-17 03:10:31,2023-08-17 10:59:43.000000000,17.18,7.82,11.01,$7.7,Afternoon ,Tuesda,47%,84%,201.85,18.44,1,Level 1 ,Long-Distance Travele
U0163,Tesla Model 3#,46,S224,San Francisco ,2023-02-14 11:22:31,2023-02-14 13:52:31.000000000,56.18,2.5,49.1,$5.74,MORNING,wednesday,22%,87%,296.8,29.42,1,Level 2 ,Commuter 
U0164,Hyundai Kona#,87,S001,Seattl,2023-09-11 04:53:24,2023-09-11 07:09:00.000000000,66.59,2.26,25.43,$19.92,Afternoon#,TUESDAY,22%,97%,294.66,-9.72,4,dc fast charger,Commuter 
U0165,Tesla Model 3#,39,S101,LOS ANGELES,2023-10-23 17:02:45,2023-10-23 22:42:21.000000000,25.18,5.66,3.7,$30.16,Mornin,thursday,76%,85%,79.54,23.66,5,LEVEL 1,Long-Distance Travele
U0166,Audi e-Tro,49,S284,Seattle ,2023-12-29 01:56:49,2023-12-29 06:30:25.000000000,55.7,4.56,37.21,$3.63,Nigh,Sunday#,52%,93%,154.27,38.35,5,Level 1 ,Commuter 
U0167,tesla model 3,96,S469,new york,2023-12-13 09:20:42,2023-12-13 11:23:06.000000000,32.88,2.04,34.47,$5.35,Morning ,wednesday,32%,83%,71.25,-7.25,6,Level 2 ,long-distance traveler
U0168,Hyundai Kona#,87,S165,chicago,2023-04-12 18:45:03,2023-04-13 02:32:27.000000000,67.38,7.79,28.87,$49.41,Morning ,wednesday,49%,82%,243.27,-0.84,3,DC FAST CHARGER,commuter
U0169,Chevy Bolt#,86,S104,san francisco,2023-06-22 08:00:30,2023-06-22 11:50:54.000000000,19.71,3.84,13.95,$7.17,night,Thursda,20%,95%,42.32,4.0,1,LEVEL 2,Long-Distance Traveler 
U0170,Nissan Leaf#,41,S210,SAN FRANCISCO,2023-08-18 14:23:46,2023-08-18 21:53:46.000000000,76.82,7.5,28.01,$23.55,Nigh,Tuesday ,63%,87%,154.08,-1.84,4,level 2,commuter
U0171,HYUNDAI KONA,99,S237,Los Angele,2023-09-27 10:12:06,2023-09-27 11:10:18.000000000,77.11,0.97,15.2,$21.6,EVENING,Tuesday#,74%,95%,195.11,34.77,7,Level ,Commuter 
U0172,NISSAN LEAF,64,S283,LOS ANGELES,2023-02-05 13:56:09,2023-02-05 17:35:45.000000000,78.65,3.66,28.88,$34.94,night,SUNDAY,78%,80%,97.92,32.08,1,Level ,LONG-DISTANCE TRAVELER
U0173,Hyundai Kona ,44,S419,Los Angeles ,2023-06-11 05:39:13,2023-06-11 12:50:01.000000000,10.37,7.18,7.98,$38.99,Afternoon#,Frida,58%,80%,11.78,28.75,4,Level 1#,Commute
U0174,audi e-tron,44,S102,New Yor,2023-12-01 06:48:56,2023-12-01 09:15:20.000000000,76.44,2.44,37.52,$28.08,Morning ,FRIDAY,14%,85%,213.24,9.94,3,Level 2#,Commuter 
NA,NA,45,NA,NA,NA,NA,75.93,3.6,13.93,$12.56,NA,NA,29%,94%,289.14,31.08,6,NA,NA
U0176,chevy bolt,74,S439,Los Angeles#,2023-12-09 15:54:15,2023-12-09 19:27:51.000000000,5.82,3.56,5.58,$9.8,Morning#,Sunday#,60%,85%,220.65,-2.17,7,dc fast charger,commuter
U0177,Tesla Model 3 ,80,S083,San Francisco#,2023-04-21 17:20:43,2023-04-21 21:08:07.000000000,73.0,3.79,43.39,$24.18,Nigh,MONDAY,70%,99%,137.99,-4.57,6,DC Fast Charger#,Commuter 
U0178,nissan leaf,67,S167,Chicag,2023-01-28 10:25:10,2023-01-28 14:29:58.000000000,13.82,4.08,30.13,$2.62,Mornin,Friday#,70%,96%,11.91,30.81,4,Level ,Long-Distance Travele
U0179,Chevy Bolt ,40,S170,Seattl,2023-07-31 05:43:31,2023-07-31 11:27:55.000000000,49.35,5.74,41.46,$5.25,morning,FRIDAY,32%,91%,248.14,24.0,4,DC Fast Charger#,COMMUTER
U0180,Audi e-Tro,35,S124,Chicag,2023-10-20 01:27:02,2023-10-20 03:41:26.000000000,28.97,2.24,6.36,$39.71,Morning ,Sunday#,70%,84%,236.55,-0.42,0,DC Fast Charger#,LONG-DISTANCE TRAVELER
U0181,Nissan Leaf#,86,S187,NEW YORK,2023-10-17 20:51:06,2023-10-17 23:52:54.000000000,15.72,3.03,34.6,$44.0,afternoon,friday,66%,88%,266.63,0.51,9,DC FAST CHARGER,Commuter 
U0182,Audi e-Tron#,32,S023,New Yor,2023-07-16 06:33:24,2023-07-16 13:59:48.000000000,14.36,7.44,41.06,$7.0,evening,FRIDAY,56%,90%,236.7,3.46,8,level 1,long-distance traveler
U0183,Chevy Bolt ,71,S314,CHICAGO,2023-02-17 01:24:45,2023-02-17 06:38:33.000000000,38.49,5.23,9.43,$7.08,Evenin,Monday#,26%,96%,245.71,8.91,2,Level 2 ,Commuter 
U0184,tesla model 3,66,S164,LOS ANGELES,2023-05-10 20:40:56,2023-05-10 23:38:32.000000000,14.91,2.96,26.36,$30.65,AFTERNOON,Monday#,33%,91%,189.45,5.07,2,Level 2 ,LONG-DISTANCE TRAVELER
U0185,HYUNDAI KONA,93,S474,NEW YORK,2023-07-31 16:22:09,2023-07-31 22:25:09.000000000,23.23,6.05,4.66,$19.66,evening,FRIDAY,61%,91%,148.17,13.67,7,DC Fast Charger#,Long-Distance Traveler 
U0186,Hyundai Kon,84,S041,Los Angele,2023-05-22 23:36:15,2023-05-23 04:14:39.000000000,31.61,4.64,20.21,$48.38,night,sunday,27%,95%,42.23,-3.34,8,DC FAST CHARGER,Commuter#
U0187,hyundai kona,88,S409,San Francisco#,2023-03-10 10:36:54,2023-03-10 14:50:42.000000000,5.87,4.23,44.76,$44.53,EVENING,Saturday#,60%,87%,241.9,9.61,0,Level 1#,commuter
U0188,chevy bolt,91,S218,Seattle ,2023-11-02 18:31:43,2023-11-02 20:44:55.000000000,52.86,2.22,47.35,$12.03,Morning#,sunday,13%,81%,93.67,15.17,7,dc fast charger,Commute
U0189,Audi e-Tro,43,S012,Chicago ,2023-12-14 06:04:26,2023-12-14 13:56:02.000000000,37.85,7.86,43.56,$21.51,afternoon,Tuesday#,46%,93%,193.89,-1.22,4,DC Fast Charge,Commute
U0190,nissan leaf,95,S050,San Francisc,2023-11-04 00:06:00,2023-11-04 01:23:23.999999999,5.11,1.29,2.35,$14.4,Morning#,SATURDAY,78%,83%,170.84,27.44,0,DC Fast Charger ,Long-Distance Travele
U0191,Tesla Model 3 ,35,S124,Chicag,2023-06-19 09:41:25,2023-06-19 13:27:37.000000000,33.13,3.77,31.39,$35.23,morning,monday,44%,92%,76.4,37.58,6,Level 2 ,Long-Distance Traveler#
U0192,HYUNDAI KONA,48,S164,Los Angeles#,2023-11-28 08:10:30,2023-11-28 10:47:06.000000000,39.07,2.61,33.29,$30.44,Night ,WEDNESDAY,49%,99%,83.21,-2.59,8,level 1,long-distance traveler
U0193,tesla model 3,64,S467,Los Angeles ,2023-06-03 08:41:34,2023-06-03 14:12:46.000000000,9.0,5.52,33.24,$29.37,Afternoo,Monday ,29%,92%,155.51,37.57,1,Level 2#,Commuter 
U0194,Chevy Bolt#,87,S387,san francisco,2023-05-14 13:27:23,2023-05-14 15:36:59.000000000,7.42,2.16,11.69,$20.44,Morning ,Sunday ,79%,85%,128.3,14.68,3,level 1,Long-Distance Traveler#
U0195,Tesla Model 3 ,47,S078,San Francisco#,2023-12-12 21:58:26,2023-12-13 02:15:14.000000000,73.96,4.28,22.52,$11.67,MORNING,Sunda,18%,95%,101.33,-3.13,8,DC Fast Charger#,long-distance traveler
U0196,Tesla Model 3#,41,S029,chicago,2023-08-27 08:49:01,2023-08-27 14:07:01.000000000,39.04,5.3,47.97,$25.94,AFTERNOON,SATURDAY,73%,96%,127.39,24.12,2,DC Fast Charger#,commuter
U0197,Nissan Leaf ,56,S101,Seattl,2023-08-18 22:41:26,2023-08-18 23:52:50.000000000,60.05,1.19,45.66,$44.47,morning,Frida,15%,98%,261.9,22.83,1,Level ,LONG-DISTANCE TRAVELER
U0198,Chevy Bolt#,53,S098,LOS ANGELES,2023-12-26 17:56:07,2023-12-26 22:00:55.000000000,74.16,4.08,18.09,$44.96,EVENING,Wednesday ,38%,97%,143.93,-3.13,2,dc fast charger,Commuter 
NA,NA,59,NA,NA,NA,NA,12.19,6.65,37.88,$22.83,NA,NA,67%,81%,143.37,2.26,3,NA,NA
U0200,Tesla Model ,64,S334,New Yor,2023-01-26 07:42:34,2023-01-26 12:01:46.000000000,30.41,4.32,38.26,$35.23,Night ,Saturday ,63%,97%,21.93,-1.39,7,DC Fast Charger#,COMMUTER
U0201,Hyundai Kon,56,S246,NEW YORK,2023-08-02 19:42:24,2023-08-02 21:16:35.999999999,30.09,1.57,35.54,$14.62,Morning ,sunday,74%,94%,145.24,10.61,9,level 2,Commuter 
U0202,Audi e-Tron ,74,S214,NEW YORK,2023-12-16 20:53:05,2023-12-16 23:15:53.000000000,8.08,2.38,47.36,$13.33,Nigh,friday,32%,94%,152.73,30.3,4,LEVEL 2,Long-Distance Travele
U0203,audi e-tron,39,S385,Los Angele,2023-01-28 21:49:45,2023-01-29 01:47:21.000000000,67.92,3.96,36.86,$22.34,Afternoo,Sunday#,18%,81%,136.52,0.32,9,LEVEL 2,Commuter#
U0204,tesla model 3,59,S323,New Yor,2023-07-28 23:14:26,2023-07-29 03:19:14.000000000,14.98,4.08,46.85,$4.41,Afternoon#,Frida,49%,83%,169.06,31.78,6,dc fast charger,Commuter 
U0205,Chevy Bolt#,68,S219,Los Angele,2023-08-03 07:51:27,2023-08-03 10:11:51.000000000,65.72,2.34,16.09,$25.02,evening,SUNDAY,79%,84%,264.94,19.41,1,DC Fast Charge,Long-Distance Travele
U0206,NISSAN LEAF,40,S252,Seattle ,2023-07-10 23:20:55,2023-07-11 04:31:07.000000000,22.34,5.17,33.73,$42.03,Afternoo,Tuesda,10%,82%,165.07,8.77,9,level 1,LONG-DISTANCE TRAVELER
U0207,Hyundai Kona ,36,S179,san francisco,2023-03-17 16:59:51,2023-03-17 20:36:27.000000000,8.21,3.61,13.31,$30.73,Evenin,tuesday,54%,99%,17.27,25.11,0,DC FAST CHARGER,long-distance traveler
U0208,Nissan Leaf ,33,S183,CHICAGO,2023-05-08 19:41:17,2023-05-08 22:52:05.000000000,49.89,3.18,22.33,$32.21,AFTERNOON,Thursda,50%,89%,178.83,17.32,6,LEVEL 1,Commute
U0209,tesla model 3,76,S437,LOS ANGELES,2023-11-27 17:58:22,2023-11-27 18:59:34.000000000,9.57,1.02,20.7,$4.12,EVENING,Frida,41%,94%,228.62,31.85,6,Level 2#,Commuter 
NA,NA,96,NA,NA,NA,NA,70.75,4.31,25.68,$34.99,NA,NA,31%,94%,268.66,8.16,9,NA,NA
NA,NA,40,NA,NA,NA,NA,18.25,7.61,35.49,$39.17,NA,NA,54%,97%,50.45,16.63,3,NA,NA
U0212,NISSAN LEAF,32,S151,new york,2023-04-20 03:30:54,2023-04-20 09:48:54.000000000,75.84,6.3,22.71,$3.11,Evening#,Tuesday#,72%,83%,15.54,-2.89,7,Level 2 ,Long-Distance Traveler#
U0213,Hyundai Kona#,33,S311,Los Angeles ,2023-02-22 14:09:37,2023-02-22 18:47:25.000000000,22.18,4.63,39.74,$2.86,night,Tuesda,62%,84%,237.65,5.93,5,Level 1 ,Long-Distance Travele
U0214,Tesla Model 3 ,44,S462,seattle,2023-02-01 00:58:38,2023-02-01 05:36:26.000000000,75.6,4.63,36.95,$20.3,Afternoon#,friday,52%,84%,132.83,-9.2,8,Level 1#,Long-Distance Traveler#
U0215,Nissan Leaf ,64,S034,New York ,2023-09-13 22:21:27,2023-09-13 23:41:15.000000000,26.91,1.33,37.6,$29.6,Afternoon#,FRIDAY,25%,90%,289.15,13.78,6,Level ,Long-Distance Traveler 
U0216,tesla model 3,73,S007,Los Angeles#,2023-02-06 09:29:09,2023-02-06 17:03:20.999999999,36.17,7.57,40.04,$36.88,Mornin,Tuesday ,78%,89%,108.96,12.12,5,level 2,Commute
U0217,Chevy Bol,95,S011,LOS ANGELES,2023-01-13 06:37:24,2023-01-13 13:25:24.000000000,63.12,6.8,36.36,$38.33,Evening ,friday,39%,91%,99.93,9.22,5,level 1,Long-Distance Traveler#
U0218,Audi e-Tro,34,S424,Seattl,2023-08-02 16:52:26,2023-08-02 23:35:38.000000000,77.12,6.72,28.91,$48.09,Evening#,SUNDAY,70%,96%,250.04,-0.81,4,Level ,Long-Distance Traveler#
NA,NA,98,NA,NA,NA,NA,65.28,5.63,31.17,$19.08,NA,NA,10%,82%,95.47,10.04,5,NA,NA
U0220,Chevy Bolt ,82,S021,SAN FRANCISCO,2023-10-25 22:46:39,2023-10-26 00:33:27.000000000,72.93,1.78,25.52,$21.25,morning,Friday ,28%,91%,275.35,-6.42,3,Level 1 ,long-distance traveler
U0221,Tesla Model 3#,35,S203,los angeles,2023-10-28 10:54:44,2023-10-28 18:09:08.000000000,72.82,7.24,28.94,$49.3,Night ,Thursday ,26%,82%,203.02,15.54,2,Level 1#,Commute
NA,NA,40,NA,NA,NA,NA,64.87,6.58,14.95,$44.25,NA,NA,27%,82%,108.77,37.13,5,NA,NA
U0223,Tesla Model 3#,83,S078,SAN FRANCISCO,2023-12-05 03:21:28,2023-12-05 06:22:04.000000000,51.14,3.01,45.43,$17.99,Night ,Thursday#,62%,84%,263.71,13.68,0,Level 2#,LONG-DISTANCE TRAVELER
U0224,Nissan Lea,48,S071,Chicag,2023-02-11 01:20:52,2023-02-11 03:41:52.000000000,44.39,2.35,38.2,$26.41,Nigh,Tuesday ,28%,82%,179.78,11.86,8,level 2,Long-Distance Travele
U0225,NISSAN LEAF,89,S440,Los Angele,2023-07-23 00:56:04,2023-07-23 03:36:52.000000000,38.1,2.68,35.89,$15.3,afternoon,Monday#,16%,82%,178.86,-6.31,3,level 1,Commuter 
U0226,Audi e-Tron#,69,S066,Los Angeles ,2023-05-14 18:15:14,2023-05-14 21:31:26.000000000,57.13,3.27,12.79,$23.33,evening,Thursday ,55%,84%,213.0,22.24,0,Level 1#,Commute
U0227,Nissan Lea,50,S223,Chicago ,2023-11-24 10:08:00,2023-11-24 17:28:24.000000000,16.52,7.34,44.13,$18.91,Evenin,Wednesday#,34%,90%,119.26,17.11,8,DC Fast Charger#,Long-Distance Traveler 
U0228,AUDI E-TRON,70,S119,Seattle#,2023-02-08 04:16:27,2023-02-08 10:43:27.000000000,61.68,6.45,4.84,$28.93,EVENING,tuesday,60%,98%,98.25,-8.75,1,DC FAST CHARGER,Long-Distance Traveler#
U0229,Nissan Leaf ,66,S204,New York ,2023-08-01 03:21:05,2023-08-01 10:43:17.000000000,20.44,7.37,30.07,$9.25,NIGHT,Monday ,39%,80%,102.02,-0.71,5,Level 1 ,long-distance traveler
U0230,Hyundai Kon,71,S092,chicago,2023-10-06 10:21:28,2023-10-06 11:49:04.000000000,45.22,1.46,43.51,$48.7,NIGHT,Tuesda,59%,91%,166.05,39.08,6,dc fast charger,long-distance traveler
U0231,Audi e-Tro,80,S180,Chicago ,2023-10-25 16:32:13,2023-10-25 18:19:01.000000000,32.65,1.78,12.22,$15.37,AFTERNOON,tuesday,51%,85%,292.34,-7.51,0,DC Fast Charger ,long-distance traveler
U0232,Chevy Bol,44,S162,New York#,2023-04-08 04:58:46,2023-04-08 11:54:34.000000000,35.36,6.93,2.38,$34.16,Morning#,Sunda,22%,98%,261.21,4.74,1,Level ,Long-Distance Traveler 
U0233,Tesla Model 3#,61,S259,Seattl,2023-05-08 01:51:50,2023-05-08 09:08:38.000000000,75.09,7.28,12.92,$43.09,Night#,TUESDAY,22%,85%,86.12,-3.55,1,DC FAST CHARGER,Long-Distance Traveler 
U0234,Nissan Lea,32,S055,San Francisco ,2023-06-08 17:13:20,2023-06-08 21:17:32.000000000,52.21,4.07,15.58,$32.06,Morning ,MONDAY,15%,97%,68.28,39.13,0,Level 2 ,long-distance traveler
U0235,Tesla Model 3#,42,S455,San Francisc,2023-05-18 04:26:55,2023-05-18 07:14:19.000000000,60.36,2.79,7.5,$38.31,Evening#,saturday,28%,96%,167.39,7.39,2,Level 2 ,Commuter#
NA,NA,90,NA,NA,NA,NA,76.53,1.18,27.32,$44.96,NA,NA,53%,86%,153.94,-1.34,8,NA,NA
U0237,Tesla Model 3#,83,S358,Chicago#,2023-11-09 18:24:39,2023-11-09 20:33:03.000000000,29.97,2.14,46.47,$36.87,MORNING,Wednesda,65%,85%,26.15,26.24,8,Level 2#,Commute
U0238,Chevy Bolt#,41,S046,New York#,2023-08-30 21:48:43,2023-08-31 05:22:54.999999999,58.08,7.57,46.82,$36.11,Night#,Thursday ,38%,80%,53.13,-1.22,0,level 1,Commute
U0239,chevy bolt,75,S124,chicago,2023-05-08 10:57:48,2023-05-08 12:17:36.000000000,43.51,1.33,31.94,$4.63,night,MONDAY,34%,81%,180.18,20.99,6,Level 2 ,Long-Distance Traveler 
U0240,CHEVY BOLT,90,S334,San Francisc,2023-01-15 15:43:09,2023-01-15 19:19:09.000000000,10.58,3.6,31.45,$28.33,Evening#,Saturday#,48%,86%,25.26,15.12,4,Level 2 ,Commuter#
U0241,Audi e-Tron ,70,S471,new york,2023-03-07 16:27:05,2023-03-07 17:55:17.000000000,9.41,1.47,34.0,$35.45,Evening#,Wednesda,67%,92%,14.46,13.79,6,Level 1 ,LONG-DISTANCE TRAVELER
U0242,Nissan Leaf ,70,S267,San Francisco ,2023-10-05 16:31:16,2023-10-05 23:37:16.000000000,64.57,7.1,36.44,$21.64,Evening ,friday,76%,89%,210.55,-6.8,9,Level 1 ,Commuter#
U0243,Tesla Model ,68,S499,Seattle ,2023-12-30 17:01:59,2023-12-30 19:51:47.000000000,75.42,2.83,47.71,$40.44,Afternoo,Monday ,67%,85%,232.86,-2.33,9,DC Fast Charger#,Long-Distance Traveler#
U0244,TESLA MODEL 3,57,S012,New York#,2023-06-23 17:30:41,2023-06-23 21:28:53.000000000,63.12,3.97,10.44,$13.21,afternoon,tuesday,64%,92%,19.72,22.09,9,Level 2 ,LONG-DISTANCE TRAVELER
U0245,Chevy Bol,43,S014,San Francisc,2023-01-23 08:09:52,2023-01-23 10:14:04.000000000,54.45,2.07,28.18,$35.87,Afternoon#,Saturda,65%,83%,159.07,3.76,1,Level ,Commute
U0246,Tesla Model ,91,S383,San Francisc,2023-04-08 15:03:13,2023-04-08 19:12:13.000000000,66.42,4.15,31.95,$8.9,Morning ,FRIDAY,47%,90%,108.6,1.13,5,Level ,commuter
U0247,Audi e-Tron ,67,S047,chicago,2023-02-08 12:32:47,2023-02-08 18:11:47.000000000,15.44,5.65,10.7,$37.88,Mornin,wednesday,69%,96%,32.49,21.97,2,DC Fast Charger ,Commute
U0248,Nissan Leaf#,84,S484,SEATTLE,2023-12-06 13:13:39,2023-12-06 14:48:26.999999999,15.95,1.58,20.43,$19.51,AFTERNOON,sunday,33%,80%,273.83,14.08,9,Level 2 ,Long-Distance Traveler 
U0249,tesla model 3,96,S343,SEATTLE,2023-05-05 08:17:29,2023-05-05 16:01:53.000000000,78.48,7.74,6.16,$26.32,Mornin,friday,71%,86%,196.04,22.63,7,Level 1#,long-distance traveler
U0250,Audi e-Tron ,90,S432,San Francisco#,2023-12-29 23:02:02,2023-12-30 01:40:26.000000000,60.64,2.64,31.11,$12.18,MORNING,SUNDAY,37%,88%,109.66,39.25,8,DC Fast Charge,COMMUTER
U0251,hyundai kona,76,S385,Chicago#,2023-05-23 05:50:13,2023-05-23 10:38:13.000000000,13.59,4.8,13.87,$19.52,Evenin,TUESDAY,51%,87%,89.56,2.2,0,Level 1 ,Long-Distance Traveler#
